# vega universe v1 — built 2026-07-05
# equities: S&P 500 + Nasdaq-100 (Wikipedia constituent snapshot, Yahoo symbol notation)
# etfs: curated liquid list
# filter (equity/etf): median 60-session dollar volume >= $20,000,000
# crypto: CoinGecko top-20 mcap, ex stable/wrapped, Binance USDT pair
symbol,asset_class,name,coingecko_id,binance_symbol
MELI,equity,"Mercado Libre",,
MET,equity,"MetLife",,
META,equity,"Meta Platforms",,
MGM,equity,"MGM Resorts",,
MKC,equity,"McCormick & Company",,
MLM,equity,"Martin Marietta Materials",,
MMM,equity,"3M",,
MNST,equity,"Monster Beverage",,
MO,equity,"Altria",,
MOS,equity,"Mosaic Company (The)",,
MPC,equity,"Marathon Petroleum",,
MPWR,equity,"Monolithic Power Systems",,
MRK,equity,"Merck & Co.",,
MRNA,equity,"Moderna",,
MRSH,equity,"Marsh McLennan",,
MRVL,equity,"Marvell Technology",,
MS,equity,"Morgan Stanley",,
MSCI,equity,"MSCI Inc.",,
MSFT,equity,"Microsoft",,
MSI,equity,"Motorola Solutions",,
MSTR,equity,"MicroStrategy",,
MTB,equity,"M&T Bank",,
MTD,equity,"Mettler Toledo",,
MU,equity,"Micron Technology",,
NBIS,equity,"Nebius Group",,
NCLH,equity,"Norwegian Cruise Line Holdings",,
NDAQ,equity,"Nasdaq, Inc.",,
NDSN,equity,"Nordson Corporation",,
NEE,equity,"NextEra Energy",,
NEM,equity,"Newmont",,
NFLX,equity,"Netflix, Inc.",,
NI,equity,"NiSource",,
NKE,equity,"Nike, Inc.",,
NOC,equity,"Northrop Grumman",,
NOW,equity,"ServiceNow",,
NRG,equity,"NRG Energy",,
NSC,equity,"Norfolk Southern",,
NTAP,equity,"NetApp",,
NTRS,equity,"Northern Trust",,
NUE,equity,"Nucor",,
NVDA,equity,"Nvidia",,
NVR,equity,"NVR, Inc.",,
NWS,equity,"News Corp (Class B)",,
NWSA,equity,"News Corp (Class A)",,
NXPI,equity,"NXP Semiconductors",,
O,equity,"Realty Income",,
ODFL,equity,"Old Dominion Freight Line",,
OKE,equity,"Oneok",,
OMC,equity,"Omnicom Group",,
ON,equity,"ON Semiconductor",,
ORCL,equity,"Oracle Corporation",,
ORLY,equity,"O'Reilly Automotive",,
OTIS,equity,"Otis Worldwide",,
OXY,equity,"Occidental Petroleum",,
PANW,equity,"Palo Alto Networks",,
PAYX,equity,"Paychex",,
PCAR,equity,"Paccar",,
PCG,equity,"PG&E Corporation",,
PDD,equity,"PDD Holdings",,
PEG,equity,"Public Service Enterprise Group",,
PEP,equity,"PepsiCo",,
PFE,equity,"Pfizer",,
PFG,equity,"Principal Financial Group",,
PG,equity,"Procter & Gamble",,
PGR,equity,"Progressive Corporation",,
PH,equity,"Parker Hannifin",,
PHM,equity,"PulteGroup",,
PKG,equity,"Packaging Corporation of America",,
PLD,equity,"Prologis",,
PLTR,equity,"Palantir Technologies",,
PM,equity,"Philip Morris International",,
PNC,equity,"PNC Financial Services",,
PNR,equity,"Pentair",,
PNW,equity,"Pinnacle West Capital",,
PODD,equity,"Insulet Corporation",,
PPG,equity,"PPG Industries",,
PPL,equity,"PPL Corporation",,
PRU,equity,"Prudential Financial",,
PSA,equity,"Public Storage",,
PSKY,equity,"Paramount Skydance Corporation",,
PSX,equity,"Phillips 66",,
PTC,equity,"PTC Inc.",,
PWR,equity,"Quanta Services",,
PYPL,equity,"PayPal",,
Q,equity,"Qnity Electronics",,
QCOM,equity,"Qualcomm",,
RCL,equity,"Royal Caribbean Group",,
REG,equity,"Regency Centers",,
REGN,equity,"Regeneron Pharmaceuticals",,
RF,equity,"Regions Financial Corporation",,
RJF,equity,"Raymond James Financial",,
RKLB,equity,"Rocket Lab",,
RL,equity,"Ralph Lauren Corporation",,
RMD,equity,"ResMed",,
ROK,equity,"Rockwell Automation",,
ROL,equity,"Rollins, Inc.",,
ROP,equity,"Roper Technologies",,
ROST,equity,"Ross Stores",,
RSG,equity,"Republic Services",,
RTX,equity,"RTX Corporation",,
RVTY,equity,"Revvity",,
SBAC,equity,"SBA Communications",,
SBUX,equity,"Starbucks",,
SCHW,equity,"Charles Schwab Corporation",,
SHOP,equity,"Shopify",,
SHW,equity,"Sherwin-Williams",,
SJM,equity,"J.M. Smucker Company (The)",,
SLB,equity,"Schlumberger",,
SMCI,equity,"Supermicro",,
SNA,equity,"Snap-on",,
SNDK,equity,"Sandisk",,
SNPS,equity,"Synopsys",,
SO,equity,"Southern Company",,
SOLV,equity,"Solventum",,
SPG,equity,"Simon Property Group",,
SPGI,equity,"S&P Global",,
SRE,equity,"Sempra",,
STE,equity,"Steris",,
STLD,equity,"Steel Dynamics",,
STT,equity,"State Street Corporation",,
STX,equity,"Seagate Technology",,
STZ,equity,"Constellation Brands",,
SW,equity,"Smurfit Westrock",,
SWK,equity,"Stanley Black & Decker",,
SWKS,equity,"Skyworks Solutions",,
SYF,equity,"Synchrony Financial",,
SYK,equity,"Stryker Corporation",,
SYY,equity,"Sysco",,
T,equity,"AT&T",,
TAP,equity,"Molson Coors Beverage Company",,
TDG,equity,"TransDigm Group",,
TDY,equity,"Teledyne Technologies",,
TECH,equity,"Bio-Techne",,
TEL,equity,"TE Connectivity",,
TER,equity,"Teradyne",,
TFC,equity,"Truist Financial",,
TGT,equity,"Target Corporation",,
TJX,equity,"TJX Companies",,
TKO,equity,"TKO Group Holdings",,
TMO,equity,"Thermo Fisher Scientific",,
TMUS,equity,"T-Mobile US",,
TPL,equity,"Texas Pacific Land Corporation",,
TPR,equity,"Tapestry, Inc.",,
TRGP,equity,"Targa Resources",,
TRI,equity,"Thomson Reuters",,
TRMB,equity,"Trimble Inc.",,
TROW,equity,"T. Rowe Price",,
TRV,equity,"Travelers Companies (The)",,
TSCO,equity,"Tractor Supply",,
TSLA,equity,"Tesla, Inc.",,
TSN,equity,"Tyson Foods",,
TT,equity,"Trane Technologies",,
TTD,equity,"Trade Desk (The)",,
TTWO,equity,"Take-Two Interactive",,
TXN,equity,"Texas Instruments",,
TXT,equity,"Textron",,
TYL,equity,"Tyler Technologies",,
UAL,equity,"United Airlines Holdings",,
UBER,equity,"Uber",,
UDR,equity,"UDR, Inc.",,
UHS,equity,"Universal Health Services",,
ULTA,equity,"Ulta Beauty",,
UNH,equity,"UnitedHealth Group",,
UNP,equity,"Union Pacific Corporation",,
UPS,equity,"United Parcel Service",,
URI,equity,"United Rentals",,
USB,equity,"U.S. Bancorp",,
V,equity,"Visa Inc.",,
VEEV,equity,"Veeva Systems",,
VICI,equity,"Vici Properties",,
VLO,equity,"Valero Energy",,
VLTO,equity,"Veralto",,
VMC,equity,"Vulcan Materials Company",,
VRSK,equity,"Verisk Analytics",,
VRSN,equity,"Verisign",,
VRT,equity,"Vertiv",,
VRTX,equity,"Vertex Pharmaceuticals",,
VST,equity,"Vistra Corp.",,
VTR,equity,"Ventas",,
VTRS,equity,"Viatris",,
VZ,equity,"Verizon",,
WAB,equity,"Wabtec",,
WAT,equity,"Waters Corporation",,
WBD,equity,"Warner Bros. Discovery",,
WDAY,equity,"Workday, Inc.",,
WDC,equity,"Western Digital",,
WEC,equity,"WEC Energy Group",,
WELL,equity,"Welltower",,
WFC,equity,"Wells Fargo",,
